Critérios;;Pilar;;;;;;;;DirX;;;;;DirY;;;;;Esforços topo;;;Esforços base;;;Resultados;
Norma;fck;Pe direito;largura;Altura;Ângulo;Cobrimento;Cx;Cy;Altura fundação;Pé direito duplo;Altura;Rebaixo;Altura fundação;Rebaixo fundação;Pé direito duplo;Altura;Rebaixo;Altura fundação;Rebaixo fundação;N;Mx;My;N;Mx;My;As;Sd/Rd
6;50;305;50;25;0;4,5;1;1;0;0;0;0;0;0;0;0;0;0;0;-46;40;4;-46;65;-17;36,2;
6;50;285;50;15;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;49;16;2;49;-1;9;4,7;
6;50;235;30;95;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;392;129;-92;392;205;430;20,1;
6;50;300;20;320;0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;824;-495;1518;824;-987;-3727;39,3;
6;50;300;15;15;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;88;5;2;88;-4;-5;0;
6;50;365;40;60;0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;485;-95;-34;485;315;99;24,1;
6;50;400;45;315;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;2574;11623;32;2574;8970;6697;124,7;
6;50;255;50;290;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;1339;-6525;-2762;1339;-11716;3513;63,8;
6;50;330;25;15;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;57;-11;7;57;7;0;18,8;
6;50;325;35;135;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;338;-70;205;338;1097;842;19,6;
6;50;315;50;250;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;1036;4379;-5159;1036;8852;3979;49,1;
6;50;270;50;215;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;1912;126;-335;1912;-4499;-6567;92,5;
6;50;205;15;110;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;337;164;-213;337;15;-70;0;
6;50;220;15;215;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;223;-261;970;223;-5;-347;15,7;
6;50;350;30;165;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1953;-1443;318;1953;172;516;0;
6;50;275;20;120;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;258;-528;-480;258;-309;254;12,6;
6;50;315;50;385;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;-1155;-1534;11833;-1155;2694;3975;0;
6;50;265;35;80;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;291;482;71;291;-366;324;14,7;
6;50;325;50;345;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;2092;-7319;9196;2092;4318;-2031;100,5;
6;50;200;15;15;0;3,5;1;1;0;0;0;0;0;0;0;0;0;0;0;27;-1;4;27;3;3;4,9;
6;50;290;20;40;0;3,5;1;1;0;0;0;0;0;0;0;0;0;0;0;-32;52;-34;-32;-44;-23;31,4;
6;50;235;30;270;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;-486;752;3470;-486;-1257;-842;392,7;
6;50;260;35;15;0;4,5;1;1;0;0;0;0;0;0;0;0;0;0;0;165;5;16;165;-8;-2;0;
6;50;250;25;305;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;1615;-2685;-3856;1615;-484;-778;137,4;
6;50;190;50;40;0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;398;22;57;398;14;-50;19,6;
6;50;250;35;150;0;3,5;1;1;0;0;0;0;0;0;0;0;0;0;0;-315;-652;-545;-315;-735;-770;255,3;
6;50;340;30;15;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;36;18;-12;36;-6;16;3,1;
6;50;190;15;100;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;346;-86;22;346;-253;59;0;
6;50;215;25;55;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;-63;-50;19;-63;-111;74;50,3;
6;50;220;40;15;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;38;10;16;38;-16;6;4,7;
6;50;395;35;40;0;3,5;1;1;0;0;0;0;0;0;0;0;0;0;0;168;106;-15;168;36;-16;9,8;
6;50;200;35;285;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;2333;-606;-439;2333;-1509;-4441;225,8;
6;50;295;30;255;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;352;-2254;-110;352;3445;-518;29,8;
6;50;280;40;15;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;215;7;25;215;27;-5;0;
6;50;110;35;170;0;1,5;1;1;0;0;0;0;0;0;0;0;0;0;0;928;-2100;-864;928;994;1572;44,2;
6;50;245;15;195;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;677;71;-840;677;-257;-418;0;
6;50;330;30;265;0;3,5;1;1;0;0;0;0;0;0;0;0;0;0;0;2772;5825;-1872;2772;1854;-130;0;
6;50;360;50;190;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;920;-1560;3216;920;2313;931;44,2;
6;50;210;15;15;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;30;-3;5;30;0;-1;4,9;
6;50;330;50;15;0;2,5;1;1;0;0;0;0;0;0;0;0;0;0;0;224;-13;-23;224;8;6;0;
6;50;275;45;410;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;958;-5354;-8620;958;1409;17164;76,4;
6;50;235;25;80;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;419;58;-279;419;280;-78;39,3;
